Animal's Name,License Issue Date,License Number,Primary Breed,Secondary Breed,Species,ZIP Code
Puppy,2013-06-26T00:00:00.000,959561,"Chihuahua, Short Coat",,Dog,98166
Dekeoi,2013-05-17T00:00:00.000,136488,"Retriever, Chesapeake Bay",,Dog,98126
Quill,2013-01-16T00:00:00.000,438811,Shih Tzu,,Dog,98118
Happy,2013-05-07T00:00:00.000,139280,"Welsh Corgi, Pembroke",,Dog,98199
Suzie,2013-12-29T00:00:00.000,944398,"Poodle, Miniature",,Dog,98115
,2013-09-01T00:00:00.000,120838,Domestic Shorthair,,Cat,98199
Ella,2013-08-14T00:00:00.000,126793,Australian Shepherd,Mix,Dog,98144
Consuela,2013-07-23T00:00:00.000,431405,"Poodle, Toy","Chihuahua, Short Coat",Dog,98117
Buddy,2013-08-29T00:00:00.000,576520,Bichon Frise,,Dog,98116
Cappi,2013-09-25T00:00:00.000,819986,Domestic Shorthair,,Cat,98122
Nigel,2013-08-20T00:00:00.000,950885,"Terrier, Soft Coated Wheaten",,Dog,98105
Amelia B. Aircat,2013-10-15T00:00:00.000,434241,Domestic Shorthair,,Cat,98117
Mickie,2013-08-11T00:00:00.000,951542,"Terrier, Jack Russell",,Dog,98105
Marley,2013-08-22T00:00:00.000,951635,"Retriever, Labrador",,Dog,98178
Sadie,2013-12-02T00:00:00.000,138179,"Retriever, Labrador",Mix,Dog,98125
Buddy Love,2013-09-23T00:00:00.000,17864,German Shepherd,Mix,Dog,98116
Po Chi,2013-08-08T00:00:00.000,78717,Shepherd,Mix,Dog,98107
Skwee,2013-09-18T00:00:00.000,127781,Domestic Longhair,,Cat,98119
Foster,2013-08-20T00:00:00.000,79320,"Spaniel, English Springer",,Dog,98146
Kitty,2013-09-05T00:00:00.000,124496,Domestic Medium Hair,,Cat,98117
Bernie,2013-11-20T00:00:00.000,205634,"Terrier, Airedale",,Dog,98136
Mac Sa Million,2013-09-22T00:00:00.000,202896,Domestic Longhair,,Cat,98199
Snow White,2013-08-22T00:00:00.000,345744,Domestic Shorthair,,Cat,98177
Indie,2013-12-02T00:00:00.000,351622,"Retriever, Golden",,Dog,98133
Hero,2013-08-08T00:00:00.000,949591,Abyssinian,Mix,Cat,98117
Moose,2013-09-04T00:00:00.000,358725,Mastiff,,Dog,98115
Missy,2013-09-24T00:00:00.000,132646,Maltese,,Dog,98104
Danny,2013-09-18T00:00:00.000,139862,"Retriever, Labrador",,Dog,98112
Benny,2013-09-08T00:00:00.000,954794,"Chihuahua, Short Coat","Poodle, Miniature",Dog,98101
Cindy,2013-09-15T00:00:00.000,352910,Australian Cattle Dog,Mix,Dog,98107
Elenore,2013-09-17T00:00:00.000,955283,"Spaniel, American Cocker","Poodle, Miniature",Dog,98119
Poppy,2013-10-23T00:00:00.000,17140,Domestic Longhair,,Cat,98103
Jasmin,2013-12-23T00:00:00.000,943983,Domestic Shorthair,,Cat,98101
Baxter,2013-08-13T00:00:00.000,26700,"Retriever, Labrador",Chow Chow,Dog,98115
Tango,2013-08-06T00:00:00.000,27333,German Shepherd,Australian Cattle Dog,Dog,98106
Max,2013-12-17T00:00:00.000,21806,Himalayan,,Cat,98103
Molly,2013-08-14T00:00:00.000,81662,"Retriever, Labrador",Australian Shepherd,Dog,98117
Mister G,2013-09-11T00:00:00.000,81315,"Terrier, West Highland White",,Dog, 
Eli,2013-08-06T00:00:00.000,76979,Australian Shepherd,,Dog,98105
Roxy,2013-12-05T00:00:00.000,82241,"Terrier, Yorkshire",,Dog,98125
Marguerita,2013-08-15T00:00:00.000,137917,"Spaniel, American Cocker",Mix,Dog,98112
Kiwi,2013-10-29T00:00:00.000,207455,"Terrier, Yorkshire",,Dog,98103
Sheila,2013-09-16T00:00:00.000,207490,"Terrier, Rat",,Dog,98177
Coco,2013-09-18T00:00:00.000,134365,"Spaniel, Cavalier King Charles",,Dog,98122
Mika,2013-08-15T00:00:00.000,130086,"Dachshund, Miniature Smooth Haired",,Dog, 
Rayne,2013-07-12T00:00:00.000,282292,"Retriever, Labrador",,Dog,98107
Rex,2013-08-12T00:00:00.000,276079,"Poodle, Standard",,Dog,98126
Buddy,2013-09-03T00:00:00.000,275729,"Retriever, Labrador",,Dog,98115
Lucky,2013-08-20T00:00:00.000,354884,Australian Shepherd,Border Collie,Dog,98144
Bella,2013-11-25T00:00:00.000,433229,Domestic Medium Hair,,Cat,98146
Achilles,2013-08-29T00:00:00.000,898824,Domestic Shorthair,,Cat,98126
Rex,2013-12-30T00:00:00.000,962016,Havanese,,Dog,98136
Bosco,2013-09-26T00:00:00.000,77508,Domestic Longhair,,Cat,98105
Bandit,2013-09-25T00:00:00.000,723186,Havanese,,Dog,98126
Mingmei,2013-10-14T00:00:00.000,723401,Shih Tzu,,Dog,98112
Joey,2013-11-26T00:00:00.000,720391,Domestic Medium Hair,,Cat,98115
Dashiell,2013-11-13T00:00:00.000,,Great Dane,,Dog,98103
Casper,2013-12-15T00:00:00.000,578242,Siamese,Mix,Cat,98133
Barkley,2013-08-29T00:00:00.000,585696,"Retriever, Labrador",Rottweiler,Dog,98115
,2013-08-19T00:00:00.000,896411,Domestic Shorthair,,Cat,98118
Jaxx,2013-09-09T00:00:00.000,900513,"Retriever, Labrador",,Dog,98125
,2013-08-19T00:00:00.000,896410,Domestic Shorthair,,Cat,98118
Happy,2013-09-25T00:00:00.000,24237,Border Collie,,Dog,98125
Kindra,2013-09-09T00:00:00.000,956908,Domestic Shorthair,,Cat,98122
Julliett,2013-08-14T00:00:00.000,955347,"Terrier, American Staffordshire",,Dog,98118
Roxy,2013-08-14T00:00:00.000,24287,Australian Cattle Dog,Belgian Sheepdog,Dog,98117
Bronx,2013-08-07T00:00:00.000,79567,Rottweiler,,Dog,98199
Dozer,2013-11-08T00:00:00.000,79405,"Poodle, Miniature",,Dog,98117
Zolo,2013-10-22T00:00:00.000,138067,Catahoula Leopard dog,Australian Cattle Dog,Dog,98118
Coco,2013-10-07T00:00:00.000,211185,Havanese,,Dog,98102
Cali,2013-08-25T00:00:00.000,574136,Domestic Shorthair,,Cat,98119
Clio,2013-08-25T00:00:00.000,574137,Domestic Shorthair,,Cat,98119
Rainbow,2013-11-16T00:00:00.000,902326,Shih Tzu,,Dog,98115
Meg,2013-08-22T00:00:00.000,355204,"Retriever, Labrador",,Dog,98126
Tiger Pham,2013-07-31T00:00:00.000,433649,Domestic Shorthair,,Cat,98108
Sheba,2013-07-19T00:00:00.000,433567,Domestic Shorthair,,Cat,98122
Jessie,2013-08-23T00:00:00.000,23628,"Terrier, Rat",,Dog,98136
Bridget,2013-08-25T00:00:00.000,957205,"Terrier, Soft Coated Wheaten",,Dog,98119
Paisley,2013-09-04T00:00:00.000,18979,Domestic Longhair,,Cat,98199
Layla,2013-11-13T00:00:00.000,951755,Shepherd,Siberian Husky,Dog,98125
Enigma,2013-09-13T00:00:00.000,572625,Domestic Shorthair,,Cat,98125
Murphy,2013-07-29T00:00:00.000,278877,"Retriever, Labrador",Mix,Dog,98121
Lucca,2013-08-26T00:00:00.000,441188,"Pointer, German Shorthaired",,Dog,98117
Doodlebug,2013-12-30T00:00:00.000,80728,Shih Tzu,,Dog,98117
Roger,2013-09-13T00:00:00.000,572630,Domestic Shorthair,,Cat,98103
Bella Pham,2013-08-03T00:00:00.000,581087,"Spaniel, American Cocker",,Dog,98108
Ceri,2013-08-26T00:00:00.000,,"Spaniel, Cavalier King Charles",,Dog,98177
Jasmine,2013-08-19T00:00:00.000,356684,"Dachshund, Standard Smooth Haired",Beagle,Dog,98103
Bode,2013-08-07T00:00:00.000,903391,"Retriever, Golden",,Dog,98115
MoMo,2013-08-27T00:00:00.000,958444,"Retriever, Labrador",Mix,Dog,98144
Ranger,2013-09-18T00:00:00.000,958545,Belgian Malinois,,Dog,98125
Brinkley,2013-09-23T00:00:00.000,25570,Papillon,,Dog,98115
Ebony,2013-12-19T00:00:00.000,951776,"Retriever, Labrador",,Dog,98105
Feral,2013-08-07T00:00:00.000,22101,Domestic Medium Hair,,Cat,98121
Boo Boo,2013-08-30T00:00:00.000,81205,"Retriever, Golden",,Dog,98118
Sasha,2013-08-08T00:00:00.000,137767,"Terrier, Fox, Wire",,Dog,98117
Bobby,2013-10-09T00:00:00.000,585234,Japanese Chin,,Dog,98125
Hugo,2013-12-04T00:00:00.000,137899,"Bulldog, French",,Dog,98107
Wylie,2013-10-17T00:00:00.000,212735,"Poodle, Miniature",,Dog,98106
Thomas,2013-09-03T00:00:00.000,276668,Maine Coon,,Cat,98102
Duke,2013-08-13T00:00:00.000,280976,"Terrier, Boston",,Dog,98115
Goldie,2013-08-09T00:00:00.000,358774,"Dachshund, Standard Smooth Haired","Welsh Corgi, Cardigan",Dog,98119
Noli,2013-10-29T00:00:00.000,358498,"Pointer, German Shorthaired",,Dog,98115
Pansy,2013-11-26T00:00:00.000,582152,Pug,,Dog,98115
Kona,2013-09-18T00:00:00.000,582054,Basset Hound,,Dog,98199
Pete,2013-10-17T00:00:00.000,,Terrier,Mix,Dog,98136
Sofia,2013-09-12T00:00:00.000,576643,Domestic Shorthair,,Cat,98101
Poca,2013-08-19T00:00:00.000,958946,Basenji,Whippet,Dog,98115
Hannah,2013-11-14T00:00:00.000,832989,Domestic Longhair,,Cat,98133
Miss Kitty,2013-09-26T00:00:00.000,825484,Domestic Shorthair,,Cat,98133
Yoshi,2013-11-14T00:00:00.000,902842,"Poodle, Toy",Terrier,Dog,98118
Patches,2013-07-11T00:00:00.000,280439,Pomeranian,"Poodle, Miniature",Dog,98133
Betty Boop,2013-09-24T00:00:00.000,214493,"Terrier, American Pit Bull",,Dog,98107
Pike,2013-11-07T00:00:00.000,353190,Domestic Shorthair,,Cat,98122
Frida,2013-10-08T00:00:00.000,582707,"Chihuahua, Short Coat","Dachshund, Standard Smooth Haired",Dog,98117
Zoe,2013-12-20T00:00:00.000,139395,"Retriever, Labrador",,Dog,98116
Skip,2013-12-06T00:00:00.000,830150,"Terrier, Yorkshire",,Dog,98103
,2013-11-14T00:00:00.000,905039,Spaniel,Mix,Dog,98117
Rider,2013-10-07T00:00:00.000,959966,Havanese,,Dog,98102
Parker,2013-09-09T00:00:00.000,960357,Beagle,,Dog,98115
Percy,2013-12-17T00:00:00.000,903458,"Retriever, Labrador",,Dog,98109
Caleb,2013-12-09T00:00:00.000,897376,Domestic Medium Hair,,Cat,98118
Rollo,2013-12-31T00:00:00.000,960060,Xoloitzcuintli,,Dog,98102
Liliana,2013-12-19T00:00:00.000,899074,Mastiff,,Dog,98117
Jack,2013-08-06T00:00:00.000,82624,"Retriever, Labrador","Poodle, Standard",Dog,98126
Sachi,2013-12-09T00:00:00.000,214681,"Retriever, Labrador",,Dog,98107
Jambo,2013-12-31T00:00:00.000,214509,"Retriever, Golden",,Dog,98105
Bonny,2013-12-03T00:00:00.000,214753,"Terrier, Cairn","Poodle, Miniature",Dog,98102
Tinkerbell,2013-08-04T00:00:00.000,578598,Domestic Longhair,Mix,Cat,98106
Freya,2013-08-15T00:00:00.000,584682,"Retriever, Labrador",,Dog,98121
Luisinha,2013-08-16T00:00:00.000,579076,Domestic Shorthair,,Cat,98115
Snookie,2013-08-08T00:00:00.000,897577,Domestic Shorthair,,Cat,98117
Opie,2013-12-10T00:00:00.000,729260,Rottweiler,"Retriever, Labrador",Dog,98126
Qiao,2013-10-29T00:00:00.000,834717,"Spaniel, Cavalier King Charles",,Dog,98155
Bobak,2013-12-10T00:00:00.000,22534,Domestic Shorthair,,Cat,98117
Maggie,2013-11-05T00:00:00.000,886336,"Terrier, West Highland White",,Dog,98104
Zeus,2013-11-21T00:00:00.000,732373,Domestic Shorthair,,Cat,98107
Alby,2013-10-27T00:00:00.000,833294,Domestic Longhair,,Cat,98121
Doozy,2013-11-27T00:00:00.000,904079,German Shepherd,Siberian Husky,Dog,98199
Max,2013-12-02T00:00:00.000,951799,"Retriever, Labrador",,Dog,98125
Piper,2013-09-03T00:00:00.000,442764,Australian Shepherd,,Dog,98109
Tommy,2013-08-12T00:00:00.000,70486,"Poodle, Miniature",Pomeranian,Dog,98117
Lola,2013-11-26T00:00:00.000,723448,"Retriever, Labrador",,Dog,98115
Quincy,2013-08-09T00:00:00.000,204950,Ragdoll,,Cat,98177
Sylvie,2013-08-06T00:00:00.000,959471,"Poodle, Standard",,Dog,98115
Geiser,2013-09-05T00:00:00.000,357404,Xoloitzcuintli,,Dog,98102
Macy,2013-10-26T00:00:00.000,278036,Domestic Shorthair,,Cat,98116
Molly,2013-10-29T00:00:00.000,904018,"Poodle, Miniature",Mix,Dog,98105
Zoe,2013-08-16T00:00:00.000,282167,German Shepherd,Mix,Dog, 
Crow,2013-09-23T00:00:00.000,585049,Chow Chow,Mix,Dog,98101
Lola,2013-12-30T00:00:00.000,904383,"Chihuahua, Short Coat",,Dog,98178
Filson,2013-09-16T00:00:00.000,215651,"Retriever, Labrador",,Dog,98115
Mattie,2013-12-09T00:00:00.000,280967,"Retriever, Labrador",,Dog,98136
Alanis,2013-11-27T00:00:00.000,901923,"Retriever, Labrador",,Dog,98107
Finnegan,2013-09-09T00:00:00.000,283194,"Terrier, Airedale",Irish Wolfhound,Dog,98112
Brie,2013-09-23T00:00:00.000,22633,American Shorthair,,Cat,98115
Bethany,2013-09-15T00:00:00.000,946011,Great Dane,"Retriever, Labrador",Dog,98108
Pete,2012-09-28T00:00:00.000,722638,Australian Cattle Dog,,Dog,98125
Spencer,2012-12-29T00:00:00.000,25863,"Retriever, Golden","Poodle, Standard",Dog,98107
Diana,2012-10-20T00:00:00.000,831391,"Terrier, American Pit Bull",,Dog,98109
Cooper,2012-08-30T00:00:00.000,584062,"Chihuahua, Short Coat",,Dog,98105
Midnight,2012-10-15T00:00:00.000,820181,"Chihuahua, Short Coat",,Dog,98118
Fancy,2012-12-01T00:00:00.000,893696,Maltese,,Dog,98122
Blackie,2012-10-15T00:00:00.000,820182,"Retriever, Labrador",Mix,Dog,98118
Jake,2012-11-25T00:00:00.000,899061,"Retriever, Labrador",,Dog, 
Blue,2012-12-07T00:00:00.000,900322,Domestic Shorthair,,Cat,98105
Grey Fox,2012-08-31T00:00:00.000,578859,Siamese,Mix,Cat,98125
Sally,2013-04-12T00:00:00.000,14923,"Terrier, Rat",,Dog,98103
Wyle,2013-06-26T00:00:00.000,338793,Whippet,,Dog,98126
Scout,2013-04-05T00:00:00.000,214090,"Dachshund, Standard Smooth Haired",,Dog,98164
Zuma,2013-04-17T00:00:00.000,204619,Domestic Shorthair,,Cat,98199
Jack,2013-05-17T00:00:00.000,276549,Domestic Medium Hair,,Cat,98118
Milo,2013-06-10T00:00:00.000,,Domestic Shorthair,Mix,Cat,98103
Suki,2013-06-04T00:00:00.000,203616,Domestic Shorthair,,Cat,98107
Dotti,2013-04-12T00:00:00.000,209553,"Terrier, Rat",,Dog,98103
Growler,2013-06-04T00:00:00.000,900332,Beagle,"Terrier, Boston",Dog,98126
Lakein,2013-01-14T00:00:00.000,957380,"Retriever, Labrador",,Dog,98177
Tessa Love,2013-02-26T00:00:00.000,82415,Border Collie,Australian Shepherd,Dog,
Sebastian,2013-05-29T00:00:00.000,21906,Domestic Longhair,,Cat,98144
Romeo,2013-05-29T00:00:00.000,,"Retriever, Golden",,Dog,98144
Coos,2013-06-11T00:00:00.000,281593,Australian Shepherd,"Retriever, Labrador",Dog,98107
Opal,2013-06-28T00:00:00.000,214298,Boxer,,Dog,98118
Harley,2013-06-08T00:00:00.000,26606,"Spaniel, American Cocker",,Dog,98136
Walter,2013-02-11T00:00:00.000,82528,"Dachshund, Miniature Smooth Haired",,Dog,98117
Lilly,2013-03-05T00:00:00.000,82476,"Chihuahua, Short Coat",Miniature Pinscher,Dog,98115
Johnny Depp,2013-03-02T00:00:00.000,133999,Domestic Longhair,,Cat,98109
,2013-02-23T00:00:00.000,83111,Pomeranian,,Dog,98103
Meijo,2013-03-07T00:00:00.000,132661,"Terrier, American Pit Bull",,Dog,98107
Jasmine,2013-03-22T00:00:00.000,140148,Domestic Shorthair,,Cat,98118
Shelby Food,2013-04-26T00:00:00.000,214153,"Terrier, American Pit Bull",Mix,Dog,98125
Molly,2013-04-27T00:00:00.000,441225,Australian Cattle Dog,,Dog,98125
Karma,2013-06-06T00:00:00.000,132533,"Terrier, American Pit Bull",,Dog,98118
Puppy,2013-06-26T00:00:00.000,959561,"Chihuahua, Short Coat",,Dog,98166
Dekeoi,2013-05-17T00:00:00.000,136488,"Retriever, Chesapeake Bay",,Dog,98126
Quill,2013-01-16T00:00:00.000,438811,Shih Tzu,,Dog,98118
Happy,2013-05-07T00:00:00.000,139280,"Welsh Corgi, Pembroke",,Dog,98199
Suzie,2013-12-29T00:00:00.000,944398,"Poodle, Miniature",,Dog,98115
,2013-09-01T00:00:00.000,120838,Domestic Shorthair,,Cat,98199
Ella,2013-08-14T00:00:00.000,126793,Australian Shepherd,Mix,Dog,98144
Consuela,2013-07-23T00:00:00.000,431405,"Poodle, Toy","Chihuahua, Short Coat",Dog,98117
Buddy,2013-08-29T00:00:00.000,576520,Bichon Frise,,Dog,98116
Cappi,2013-09-25T00:00:00.000,819986,Domestic Shorthair,,Cat,98122
Nigel,2013-08-20T00:00:00.000,950885,"Terrier, Soft Coated Wheaten",,Dog,98105
Amelia B. Aircat,2013-10-15T00:00:00.000,434241,Domestic Shorthair,,Cat,98117
Mickie,2013-08-11T00:00:00.000,951542,"Terrier, Jack Russell",,Dog,98105
Marley,2013-08-22T00:00:00.000,951635,"Retriever, Labrador",,Dog,98178
Sadie,2013-12-02T00:00:00.000,138179,"Retriever, Labrador",Mix,Dog,98125
Buddy Love,2013-09-23T00:00:00.000,17864,German Shepherd,Mix,Dog,98116
Po Chi,2013-08-08T00:00:00.000,78717,Shepherd,Mix,Dog,98107
Skwee,2013-09-18T00:00:00.000,127781,Domestic Longhair,,Cat,98119
Foster,2013-08-20T00:00:00.000,79320,"Spaniel, English Springer",,Dog,98146
Kitty,2013-09-05T00:00:00.000,124496,Domestic Medium Hair,,Cat,98117
Bernie,2013-11-20T00:00:00.000,205634,"Terrier, Airedale",,Dog,98136
Mac Sa Million,2013-09-22T00:00:00.000,202896,Domestic Longhair,,Cat,98199
Snow White,2013-08-22T00:00:00.000,345744,Domestic Shorthair,,Cat,98177
Indie,2013-12-02T00:00:00.000,351622,"Retriever, Golden",,Dog,98133
Hero,2013-08-08T00:00:00.000,949591,Abyssinian,Mix,Cat,98117
Moose,2013-09-04T00:00:00.000,358725,Mastiff,,Dog,98115
Missy,2013-09-24T00:00:00.000,132646,Maltese,,Dog,98104
Danny,2013-09-18T00:00:00.000,139862,"Retriever, Labrador",,Dog,98112
Benny,2013-09-08T00:00:00.000,954794,"Chihuahua, Short Coat","Poodle, Miniature",Dog,98101
Cindy,2013-09-15T00:00:00.000,352910,Australian Cattle Dog,Mix,Dog,98107
Elenore,2013-09-17T00:00:00.000,955283,"Spaniel, American Cocker","Poodle, Miniature",Dog,98119
Poppy,2013-10-23T00:00:00.000,17140,Domestic Longhair,,Cat,98103
Jasmin,2013-12-23T00:00:00.000,943983,Domestic Shorthair,,Cat,98101
Baxter,2013-08-13T00:00:00.000,26700,"Retriever, Labrador",Chow Chow,Dog,98115
Tango,2013-08-06T00:00:00.000,27333,German Shepherd,Australian Cattle Dog,Dog,98106
Max,2013-12-17T00:00:00.000,21806,Himalayan,,Cat,98103
Molly,2013-08-14T00:00:00.000,81662,"Retriever, Labrador",Australian Shepherd,Dog,98117
Mister G,2013-09-11T00:00:00.000,81315,"Terrier, West Highland White",,Dog, 
Eli,2013-08-06T00:00:00.000,76979,Australian Shepherd,,Dog,98105
Roxy,2013-12-05T00:00:00.000,82241,"Terrier, Yorkshire",,Dog,98125
Marguerita,2013-08-15T00:00:00.000,137917,"Spaniel, American Cocker",Mix,Dog,98112
Kiwi,2013-10-29T00:00:00.000,207455,"Terrier, Yorkshire",,Dog,98103
Sheila,2013-09-16T00:00:00.000,207490,"Terrier, Rat",,Dog,98177
Coco,2013-09-18T00:00:00.000,134365,"Spaniel, Cavalier King Charles",,Dog,98122
Mika,2013-08-15T00:00:00.000,130086,"Dachshund, Miniature Smooth Haired",,Dog, 
Rayne,2013-07-12T00:00:00.000,282292,"Retriever, Labrador",,Dog,98107
Rex,2013-08-12T00:00:00.000,276079,"Poodle, Standard",,Dog,98126
Buddy,2013-09-03T00:00:00.000,275729,"Retriever, Labrador",,Dog,98115
Lucky,2013-08-20T00:00:00.000,354884,Australian Shepherd,Border Collie,Dog,98144
Bella,2013-11-25T00:00:00.000,433229,Domestic Medium Hair,,Cat,98146
Achilles,2013-08-29T00:00:00.000,898824,Domestic Shorthair,,Cat,98126
Rex,2013-12-30T00:00:00.000,962016,Havanese,,Dog,98136
Bosco,2013-09-26T00:00:00.000,77508,Domestic Longhair,,Cat,98105
Bandit,2013-09-25T00:00:00.000,723186,Havanese,,Dog,98126
Mingmei,2013-10-14T00:00:00.000,723401,Shih Tzu,,Dog,98112
