,id,name,host_response_time,host_acceptance_rate,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,number_of_reviews,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
21,340738,Victorian home on Capitol Hill,within an hour,85%,16.0,Capitol Hill,47.62376,-122.30494,Entire rental unit,Entire home/apt,2,1.0,2.0,2.0,"[""Shampoo"", ""Fire extinguisher"", ""Hair dryer"", ""TV with standard cable"", ""Free street parking"", ""Hot water"", ""Heating"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Kitchen"", ""Wifi""]",$495.00,100,112,30,0,0.0,,,,,,,,
22,353110,Newly Remodeled Private Cottage in West Seattle!,within a few hours,75%,1.0,West Seattle,47.58037,-122.39163,Entire guesthouse,Entire home/apt,4,1.0,1.0,1.0,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""High chair"", ""Dishes and silverware"", ""Beach access"", ""Sun loungers"", ""Mini fridge"", ""Free washer \u2013 In unit"", ""TV"", ""Outdoor furniture"", ""Electric stove"", ""Outdoor dining area"", ""Private entrance"", ""Ceiling fan"", ""Hammock"", ""Hangers"", ""Crib"", ""Kitchenette"", ""Patio or balcony"", ""Cleaning products"", ""Iron"", ""Dining table"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Kayak"", ""Fast wifi \u2013 67 Mbps"", ""Shared sauna"", ""BBQ grill"", ""Books and reading material"", ""Shower gel"", ""Bikes"", ""Shampoo"", ""Toaster"", ""Keypad"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Clothing storage: closet and dresser"", ""Laundromat nearby"", ""Smoke alarm"", ""Bed linens"", ""Pets allowed"", ""Fire extinguisher"", ""Coffee"", ""Drying rack for clothing"", ""Blender"", ""Garden view"", ""Microwave"", ""Cooking basics"", ""Backyard"", ""Oven"", ""Board games"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Hot water kettle"", ""Free street parking"", ""Barbecue utensils"", ""Extra pillows and blankets""]",$121.00,30,1125,9,94,0.0,4.74,4.77,4.77,4.89,4.83,4.89,4.73,0.57
23,356248,Amazing Waterview Condo near UW + Eastlake!,within a day,79%,11.0,Capitol Hill,47.65047,-122.32022,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Freezer"", ""Self check-in"", ""60 inch HDTV with Netflix"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Hangers"", ""Stove"", ""Cleaning products"", ""Iron"", ""Dining table"", ""Bay view"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Waterfront"", ""Long term stays allowed"", ""Smart lock"", ""Cleaning available during stay"", ""Clothing storage: closet and wardrobe"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Toaster"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Canal view"", ""Bed linens"", ""Fire extinguisher"", ""Blender"", ""Private patio or balcony"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Fire pit"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""Extra pillows and blankets""]",$149.00,90,365,0,31,0.0,4.9,4.97,4.81,5.0,5.0,4.93,4.63,0.28
24,365550,art loft downtown~ID~Stadiums,within an hour,98%,3.0,Downtown,47.60002,-122.32742,Private room in rental unit,Private room,2,1.0,1.0,1.0,"[""Luggage dropoff allowed"", ""Coffee maker: french press, pour-over coffee"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Paid street parking off premises"", ""Room-darkening shades"", ""Clothing storage"", ""Hangers"", ""Kitchenette"", ""Cleaning products"", ""Iron"", ""Fast wifi \u2013 234 Mbps"", ""AC - split type ductless system"", ""Dining table"", ""Body soap"", ""Carbon monoxide alarm"", ""Shared refrigerator"", ""Lock on bedroom door"", ""Cleaning available during stay"", ""Shower gel"", ""Exterior security cameras on property"", ""Shampoo"", ""Hair dryer"", ""Heating - split type ductless system"", ""Hot water"", ""32 inch HDTV with premium cable, Roku, Netflix"", ""Smoke alarm"", ""Lockbox"", ""Bed linens"", ""Fire extinguisher"", ""Coffee"", ""Microwave"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""First aid kit"", ""Extra pillows and blankets""]",$109.00,3,21,14,909,22236.0,4.77,4.83,4.89,4.93,4.94,4.63,4.72,5.53
27,387078,Modern Capitol Hill. Location. Great Monthly Rates,within an hour,55%,12.0,Capitol Hill,47.62361,-122.32577,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Luggage dropoff allowed"", ""Self check-in"", ""High chair"", ""Dishes and silverware"", ""Paid dryer \u2013 In building"", ""Kitchen"", ""Wifi"", ""Hangers"", ""Stove"", ""Paid washer \u2013 In building"", ""Iron"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Air conditioning"", ""Shampoo"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Lockbox"", ""Smoke alarm"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Paid parking on premises"", ""Heating"", ""Essentials"", ""TV with Chromecast""]",$186.00,30,365,30,182,0.0,4.78,4.79,4.85,4.78,4.85,4.93,4.64,1.17
28,392140,Fantastic View-Close to Light Rail-Solar Powered!,within a few hours,68%,3.0,Beacon Hill,47.58576,-122.31581,Private room in home,Private room,2,1.0,1.0,1.0,"[""Free parking on premises"", ""Self check-in"", ""Dishes and silverware"", ""Kitchen"", ""Wifi"", ""Stove"", ""Carbon monoxide alarm"", ""Hot water"", ""Coffee maker"", ""Shared patio or balcony"", ""Lockbox"", ""Smoke alarm"", ""Fire extinguisher"", ""Cooking basics"", ""Refrigerator"", ""Oven"", ""Heating"", ""Essentials"", ""Free street parking"", ""First aid kit""]",$80.00,3,7,12,376,8160.0,4.89,4.87,4.8,4.9,4.94,4.8,4.79,2.31
29,392779,2/1 Plush Modern Hilltop Retreat,,0%,1.0,Beacon Hill,47.57389,-122.31428,Entire guest suite,Entire home/apt,4,1.0,2.0,2.0,"[""Free parking on premises"", ""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""Private backyard \u2013 Fully fenced"", ""Free washer \u2013 In unit"", ""TV"", ""Outdoor furniture"", ""Kitchen"", ""Wifi"", ""Hangers"", ""Stove"", ""Iron"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Lockbox"", ""Smoke alarm"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Essentials"", ""Free street parking"", ""First aid kit""]",$148.00,30,1125,30,203,0.0,4.79,4.84,4.82,4.82,4.81,4.7,4.65,1.25
31,461234,Browns House Guest Apt. in Ballard,within an hour,89%,1.0,Ballard,47.68444,-122.37338,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Luggage dropoff allowed"", ""Free parking on premises"", ""Freezer"", ""Dishes and silverware"", ""Portable air conditioning"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Hangers"", ""Stove"", ""Cleaning products"", ""Iron"", ""Dining table"", ""Body soap"", ""Portable fans"", ""Shampoo"", ""Single level home"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Clothing storage: closet and dresser"", ""Laundromat nearby"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Coffee"", ""Drying rack for clothing"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Oven"", ""Private backyard \u2013 Not fully fenced"", ""Heating"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""Extra pillows and blankets""]",$90.00,4,1125,14,412,16560.0,4.86,4.89,4.92,4.94,4.95,4.88,4.88,2.55
35,552325,"Portage Bay View, Close to UW with Parking!",within a day,79%,11.0,Capitol Hill,47.65043,-122.32021,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""Room-darkening shades"", ""Bathtub"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Hangers"", ""Stove"", ""Cleaning products"", ""Iron"", ""Bay view"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Waterfront"", ""Long term stays allowed"", ""Smart lock"", ""BBQ grill"", ""Books and reading material"", ""Cleaning available during stay"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Single level home"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Laundromat nearby"", ""Smoke alarm"", ""Canal view"", ""Bed linens"", ""43 inch HDTV"", ""Fire extinguisher"", ""Coffee"", ""Blender"", ""Private patio or balcony"", ""Private pool"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""Barbecue utensils"", ""Extra pillows and blankets""]",$214.00,90,360,0,40,54570.0,4.73,4.75,4.48,4.9,4.95,4.93,4.7,0.27
36,564220,Cute Bungalow #2 - near Light Rail,within an hour,99%,2.0,Rainier Valley,47.57783,-122.29251,Private room in bungalow,Private room,2,1.0,1.0,1.0,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Outdoor dining area"", ""Wifi"", ""Hangers"", ""Iron"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hair dryer"", ""Shared backyard \u2013 Fully fenced"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Host greets you"", ""Fire extinguisher"", ""Microwave"", ""Refrigerator"", ""Heating"", ""Essentials"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$63.00,1,21,10,343,16065.0,4.82,4.87,4.67,4.95,4.95,4.85,4.84,2.15
37,564428,Cute Bungalow #1 - near Light Rail,within an hour,99%,2.0,Rainier Valley,47.57796,-122.29373,Private room in bungalow,Private room,2,1.0,1.0,1.0,"[""Luggage dropoff allowed"", ""Private backyard \u2013 Fully fenced"", ""Central heating"", ""Sun loungers"", ""Bathtub"", ""Outdoor dining area"", ""Wifi"", ""Hangers"", ""Outlet covers"", ""Iron"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Free washer"", ""Shower gel"", ""Shampoo"", ""Hair dryer"", ""Hot water"", ""Shared patio or balcony"", ""Smoke alarm"", ""Bed linens"", ""Free dryer"", ""Fire extinguisher"", ""Microwave"", ""Dishwasher"", ""Refrigerator"", ""Conditioner"", ""Essentials"", ""Hot water kettle"", ""Clothing storage: walk-in closet and dresser"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$63.00,2,28,6,370,6804.0,4.74,4.82,4.58,4.9,4.92,4.72,4.77,2.3
38,565703,Garden Apartment in Madison Valley,within an hour,97%,4.0,Central Area,47.620624,-122.29714,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,"[""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""Private backyard \u2013 Fully fenced"", ""TV"", ""Outdoor furniture"", ""Outdoor dining area"", ""EV charger"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Dryer"", ""Hangers"", ""Crib"", ""Stove"", ""Outlet covers"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Ethernet connection"", ""Air conditioning"", ""BBQ grill"", ""Cleaning available during stay"", ""Shampoo"", ""Single level home"", ""Keypad"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Private patio or balcony"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Essentials"", ""Free street parking"", ""First aid kit"", ""Children\u2019s books and toys"", ""Extra pillows and blankets""]",$106.00,3,365,0,371,11448.0,4.67,4.76,4.61,4.92,4.93,4.85,4.72,2.44
41,598023,West Seattle Home at Alaska Junction!,,,1.0,West Seattle,47.56162,-122.38812,Private room in home,Private room,2,1.0,1.0,1.0,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Liebherr refrigerator"", ""Freezer"", ""American Range stainless steel oven"", ""Dishes and silverware"", ""Self check-in"", ""Varies body soap"", ""Outdoor furniture"", ""American stainless steel gas stove"", ""Coffee maker: french press"", ""Outdoor dining area"", ""Kitchen"", ""Dryer"", ""Hangers"", ""65 inch HDTV with Amazon Prime Video, Apple TV, Netflix"", ""Iron"", ""Dining table"", ""Free driveway parking on premises \u2013 1 space"", ""Portable fans"", ""Carbon monoxide alarm"", ""Free washer"", ""Books and reading material"", ""Shampoo"", ""Toaster"", ""Keypad"", ""Hair dryer"", ""Hot water"", ""Clothing storage: closet and dresser"", ""Fast wifi \u2013 151 Mbps"", ""Smoke alarm"", ""Bed linens"", ""Private BBQ grill: gas"", ""Fire extinguisher"", ""Blender"", ""Private patio or balcony"", ""Bread maker"", ""Microwave"", ""Cooking basics"", ""Dishwasher"", ""Private backyard \u2013 Not fully fenced"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Bluetooth speakers available using your device. sound system"", ""Long term stays allowed"", ""First aid kit"", ""Barbecue utensils"", ""Extra pillows and blankets"", ""Paid parking lot off premises""]",$109.00,30,30,30,22,0.0,4.73,4.76,4.59,4.9,4.95,4.9,4.62,0.15
42,609610,A place to stay: studio apartment,,0%,3.0,Rainier Valley,47.56994,-122.29403,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""Private backyard \u2013 Fully fenced"", ""Outdoor furniture"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Hangers"", ""Iron"", ""Carbon monoxide alarm"", ""Shampoo"", ""Keypad"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Shared patio or balcony"", ""Smoke alarm"", ""Garden view"", ""Refrigerator"", ""Heating"", ""Essentials"", ""Long term stays allowed""]",$95.00,30,90,0,36,0.0,4.85,4.92,4.94,4.92,5.0,4.5,4.92,0.22
